id1,id,proc,order,time,score
304,405,1,1,2,2.25
310,411,1,2,1,5
310,411,1,2,2,6
311,412,1,1,1,6
311,412,1,1,2,7
312,414,1,2,1,3.25
312,414,1,2,2,5.25
313,415,1,1,1,3
313,415,1,1,2,2
316,418,1,1,1,2.5
316,418,1,1,2,2.75
317,419,1,2,1,3.5
317,419,1,2,2,4.5
318,420,1,1,1,3
318,420,1,1,2,5.75
321,423,1,2,1,3.25
321,423,1,2,2,3.75
324,426,1,1,1,4.5
324,426,1,1,2,5.5
325,427,1,1,1,4
325,427,1,1,2,4
327,431,1,2,1,2.5
327,431,1,2,2,4
329,434,1,2,1,1
329,434,1,2,2,2.5
330,435,1,1,1,1.75
330,435,1,1,2,1.25
332,437,1,1,1,1
332,437,1,1,2,1.25
334,439,1,1,1,2
334,439,1,1,2,2
335,440,1,2,1,1.25
335,440,1,2,2,3.5
338,443,1,1,1,3
338,443,1,1,2,5.25
340,445,1,1,1,3.25
340,445,1,1,2,3.25
341,446,1,2,1,1
341,446,1,2,2,6
343,448,1,1,1,3.25
343,448,1,1,2,4
344,449,1,1,1,4
344,449,1,1,2,2.75
346,451,1,2,1,3
346,451,1,2,2,7
347,452,1,2,1,2.5
347,452,1,2,2,3.75
348,454,1,2,1,4.25
348,454,1,2,2,4.25
349,457,1,1,1,2.5
349,457,1,1,2,4
350,458,1,2,1,2
350,458,1,2,2,2
351,459,1,2,1,2
351,459,1,2,2,4
353,461,1,2,1,1
353,461,1,2,2,4
355,463,1,1,1,2
355,463,1,1,2,2
356,466,1,1,1,3.5
356,466,1,1,2,7
357,467,1,1,1,5
357,467,1,1,2,7
358,469,1,1,1,2.25
358,469,1,1,2,3.5
359,470,1,1,1,2
359,470,1,1,2,5
360,471,1,1,1,2
360,471,1,1,2,2
363,478,1,2,1,3.5
363,478,1,2,2,6.25
364,479,1,2,1,5
364,479,1,2,2,5.25
365,480,1,2,1,2.5
365,480,1,2,2,4.25
366,481,1,2,1,4
366,481,1,2,2,5
368,484,1,1,1,2
368,484,1,1,2,2.5
375,495,1,2,1,3
375,495,1,2,2,2.5
379,501,1,2,1,1
379,501,1,2,2,4.25
381,504,1,2,1,3
381,504,1,2,2,2.5
386,511,1,2,1,2.25
386,511,1,2,2,3
388,513,1,1,1,3.25
388,513,1,1,2,3.5
390,515,1,1,1,3
390,515,1,1,2,1
391,516,1,1,1,3
391,516,1,1,2,2
392,518,1,2,1,1
392,518,1,2,2,3.5
393,519,1,1,1,1.75
393,519,1,1,2,3
397,523,1,1,1,5
397,523,1,1,2,6
399,526,1,2,1,2
399,526,1,2,2,2.25
400,528,1,2,1,3.75
400,528,1,2,2,5
401,529,1,2,1,3
401,529,1,2,2,5.25
402,530,1,2,1,3.5
402,530,1,2,2,4.5
403,531,1,2,1,1
403,531,1,2,2,1
404,532,1,1,1,2.25
404,532,1,1,2,2.75
411,539,1,2,1,2
411,539,1,2,2,5
412,540,1,1,1,3.25
412,540,1,1,2,3.5
417,546,1,2,1,2
417,546,1,2,2,2
421,553,1,2,1,4
421,553,1,2,2,4.75
422,555,1,2,1,2
422,555,1,2,2,4.75
423,557,1,2,1,2.5
423,557,1,2,2,3.75
424,558,1,1,1,4
424,558,1,1,2,4
426,561,1,1,1,4.75
426,561,1,1,2,5.5
427,563,1,1,1,3.75
427,563,1,1,2,4.75
430,566,1,1,1,6.25
430,566,1,1,2,6.25
431,568,1,1,1,7
431,568,1,1,2,7
433,570,1,1,1,2
433,570,1,1,2,4.5
434,571,1,2,1,2
434,571,1,2,2,3.25
437,574,1,2,1,1
437,574,1,2,2,1.25
444,582,1,1,1,3.25
444,582,1,1,2,3.25
445,584,1,1,1,2.75
445,584,1,1,2,6
448,587,1,1,1,3.25
448,587,1,1,2,5.5
450,590,1,2,1,3
450,590,1,2,2,5
452,592,1,1,1,2
452,592,1,1,2,4
454,595,1,2,1,2
454,595,1,2,2,2.25
455,596,1,1,1,4
455,596,1,1,2,5.25
458,599,1,1,1,1
458,599,1,1,2,3.5
460,601,1,1,1,3.5
460,601,1,1,2,4.5
465,608,1,1,1,3
465,608,1,1,2,4.75
467,610,1,1,1,1.5
467,610,1,1,2,3.5
468,611,1,2,1,2
468,611,1,2,2,2.5
469,612,1,2,1,2.5
469,612,1,2,2,3.25
470,613,1,2,1,2.75
470,613,1,2,2,3.25
471,614,1,1,1,2.25
471,614,1,1,2,2
472,615,1,1,1,3.25
472,615,1,1,2,4.5
474,618,1,1,1,2.5
474,618,1,1,2,3.75
476,620,1,1,1,2
476,620,1,1,2,2
478,622,1,1,1,4
478,622,1,1,2,5
479,623,1,2,1,2
479,623,1,2,2,5.5
480,624,1,2,1,2.5
480,624,1,2,2,1
482,626,1,2,1,3.5
482,626,1,2,2,4.25
485,630,1,1,1,4
485,630,1,1,2,5
486,631,1,1,1,4.5
486,631,1,1,2,3.75
488,634,1,1,1,1.75
488,634,1,1,2,1.5
